Page URL,Structured data,Field,Issue description,Discovered
https://www.caoptical.com/ceres-clip-on-prescription-sunglasses-for-women-cat-eye-black-acetate/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/charleston-prescription-safety-glasses-ansi-z87-1-certified-construction-industrial-and-tactical-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/charleston-prescription-safety-glasses-ansi-z87-1-certified-construction-industrial-and-tactical-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c1/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c1/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c2/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c2/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c3/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c3/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c4/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/clarita-prescription-eyeglasses-c4/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/columbia-prescription-safety-glasses-ansi-z87-1-certified-industrial-construction-and-tactical-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/columbia-prescription-safety-glasses-ansi-z87-1-certified-industrial-construction-and-tactical-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/columbia-prescription-sports-glasses-polarized-or-transition-lenses-jogging-fishing-cycling-or-motorcycle-sunglasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/columbia-prescription-sports-glasses-polarized-or-transition-lenses-jogging-fishing-cycling-or-motorcycle-sunglasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/concord-prescription-glasses-c1/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/concord-prescription-glasses-c1/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
